,NOX,RM,DIS,RAD,TAX,PTRATIO,B,MEDV,nCRIM,nZN,nINDUS,nCHAS,nAGE,nLSTAT
0,0.538,6.575,4.09,1,296,15.3,396.9,24.0,0.00632,18.0,2.31,0.0,65.2,4.98
1,0.469,6.421,4.9671,2,242,17.8,396.9,21.6,0.02731,0.0,7.07,0.0,78.9,9.14
2,0.469,7.185,4.9671,2,242,17.8,392.83,34.7,0.02729,0.0,7.07,0.0,61.1,4.03
3,0.458,6.998,6.0622,3,222,18.7,394.63,33.4,0.03237,0.0,2.18,0.0,45.8,2.94
4,0.458,7.147,6.0622,3,222,18.7,396.9,36.2,0.06905,0.0,2.18,0.0,54.2,2.6457979580055824
5,0.458,6.43,6.0622,3,222,18.7,394.12,28.7,0.02985,0.0,2.18,0.0,58.7,5.21
6,0.524,6.012,5.5605,5,311,15.2,395.6,22.9,0.08829,12.5,7.87,0.0,66.6,12.43
7,0.524,6.172,5.9505,5,311,15.2,396.9,27.1,0.14455,12.5,7.87,0.0,96.1,19.15
8,0.524,5.631,6.0821,5,311,15.2,386.63,16.5,0.21124,12.5,7.87,0.0,100.0,29.93
9,0.524,6.004,6.5921,5,311,15.2,386.71,18.9,0.17004,12.5,7.87,0.0,85.9,17.1
10,0.524,6.377,6.3467,5,311,15.2,392.52,15.0,0.22489,12.5,7.87,0.0,94.3,20.45
11,0.524,6.009,6.2267,5,311,15.2,396.9,18.9,0.11747,12.5,7.87,0.0,82.9,13.27
12,0.524,5.889,5.4509,5,311,15.2,390.5,21.7,0.09378,12.5,7.87,0.0,39.0,15.71
13,0.538,5.949,4.7075,4,307,21.0,396.9,20.4,0.62976,0.0,8.14,0.0,61.8,8.26
14,0.538,6.096,4.4619,4,307,21.0,380.02,18.2,0.63796,0.0,8.14,0.0,84.5,10.26
15,0.538,5.834,4.4986,4,307,21.0,395.62,19.9,0.62739,0.0,8.14,0.0,56.5,8.47
16,0.538,5.935,4.4986,4,307,21.0,386.85,23.1,1.05393,0.0,8.14,0.0,29.3,6.58
17,0.538,5.99,4.2579,4,307,21.0,386.75,17.5,0.7842,0.0,8.14,0.0,81.7,14.67
18,0.538,5.456,3.7965,4,307,21.0,288.99,20.2,0.80271,0.0,8.14,0.0,36.6,11.69
19,0.538,5.727,3.7965,4,307,21.0,390.95,18.2,0.7258,0.0,8.14,0.0,69.5,11.28
20,0.538,5.57,3.7979,4,307,21.0,376.57,13.6,1.25179,0.0,8.14,0.0,98.1,21.02
21,0.538,5.965,4.0123,4,307,21.0,392.53,19.6,0.85204,0.0,8.14,0.0,89.2,13.83
22,0.538,6.142,3.9769,4,307,21.0,396.9,15.2,1.23247,0.0,8.14,0.0,91.7,18.72
23,0.538,5.813,4.0952,4,307,21.0,394.54,14.5,0.98843,0.0,8.14,0.0,100.0,19.88
24,0.538,5.924,4.3996,4,307,21.0,394.33,15.6,0.75026,0.0,8.14,0.0,94.1,16.3
25,0.538,5.599,4.4546,4,307,21.0,303.42,13.9,0.84054,0.0,8.14,0.0,85.7,16.51
26,0.538,5.813,4.682,4,307,21.0,376.88,16.6,0.67191,0.0,8.14,0.0,90.3,14.81
27,0.538,6.047,4.4534,4,307,21.0,306.38,14.8,0.95577,0.0,8.14,0.0,88.8,17.28
28,0.538,6.495,4.4547,4,307,21.0,387.94,18.4,0.77299,0.0,8.14,0.0,94.4,12.8
29,0.538,6.674,4.239,4,307,21.0,380.23,21.0,1.00245,0.0,8.14,0.0,87.3,11.98
30,0.538,5.713,4.233,4,307,21.0,360.17,12.7,1.13081,0.0,8.14,0.0,94.1,22.6
31,0.538,6.072,4.175,4,307,21.0,376.73,14.5,1.35472,0.0,8.14,0.0,100.0,13.04
32,0.538,5.95,3.99,4,307,21.0,232.6,13.2,1.38799,0.0,8.14,0.0,82.0,27.71
33,0.538,5.701,3.7872,4,307,21.0,358.77,13.1,1.15172,0.0,8.14,0.0,95.0,18.35
34,0.538,6.096,3.7598,4,307,21.0,248.31,13.5,1.61282,0.0,8.14,0.0,96.9,20.34
35,0.499,5.933,3.3603,5,279,19.2,396.9,18.9,0.06417,0.0,5.96,0.0,68.2,17.41469707808122
36,0.499,5.841,3.3779,5,279,19.2,377.56,20.0,0.09744,0.0,5.96,0.0,61.4,11.41
37,0.499,5.85,3.9342,5,279,19.2,396.9,21.0,0.08014,0.0,5.96,0.0,41.5,8.77
38,0.499,5.966,3.8473,5,279,19.2,393.43,24.7,0.17505,0.0,5.96,0.0,30.2,10.13
39,0.428,6.595,5.4011,3,252,18.3,395.63,30.8,0.02763,75.0,2.95,0.0,21.8,4.32
40,0.428,7.024,5.4011,3,252,18.3,395.62,34.9,0.03359,75.0,2.95,0.0,15.8,1.98
41,0.448,6.77,5.7209,3,233,17.9,385.41,26.6,0.12744,0.0,6.91,0.0,2.9,4.84
42,0.448,6.169,5.7209,3,233,17.9,383.37,25.3,0.1415,0.0,6.91,0.0,6.6,5.81
43,0.448,6.211,5.7209,3,233,17.9,394.46,24.7,0.15936,0.0,6.91,0.0,6.5,7.44
44,0.448,6.069,5.7209,3,233,17.9,389.39,21.2,0.12269,0.0,6.91,0.0,40.0,9.55
45,0.448,5.682,5.1004,3,233,17.9,396.9,19.3,0.17142,0.0,6.91,0.0,33.8,10.21
46,0.448,5.786,5.1004,3,233,17.9,396.9,20.0,0.18836,0.0,6.91,0.0,33.3,14.15
47,0.448,6.03,5.6894,3,233,17.9,392.74,16.6,0.22927,0.0,6.91,0.0,85.5,18.8
48,0.448,5.399,5.87,3,233,17.9,396.9,14.4,0.25387,0.0,6.91,0.0,95.3,30.81
49,0.448,5.602,6.0877,3,233,17.9,396.9,19.4,0.21977,0.0,6.91,0.0,62.0,16.2
50,0.439,5.963,6.8147,4,243,16.8,395.56,19.7,0.08873,21.0,5.64,0.0,45.7,13.45
51,0.439,6.115,6.8147,4,243,16.8,393.97,20.5,0.04337,21.0,5.64,0.0,63.0,9.43
52,0.439,6.511,6.8147,4,243,16.8,396.9,25.0,0.0536,21.0,5.64,0.0,21.1,5.28
53,0.439,5.998,6.8147,4,243,16.8,396.9,23.4,0.03728957334803668,21.0,5.64,0.0,21.4,8.43
54,0.41,5.888,7.3197,3,469,21.1,396.9,18.9,0.0136,75.0,4.0,0.0,47.6,14.8
55,0.403,7.249,8.6966,5,226,17.9,395.93,35.4,0.01311,90.0,1.22,0.0,21.9,4.81
56,0.41,6.383,9.1876,2,313,17.3,396.9,24.7,0.02055,85.0,0.74,0.0,35.7,5.77
57,0.411,6.816,8.3248,5,256,15.1,392.9,31.6,0.01432,100.0,1.32,0.0,40.5,3.95
58,0.453,6.145,7.8148,8,284,19.7,390.68,23.3,0.15445,25.0,5.13,0.0,29.2,6.86
59,0.453,5.927,6.932,8,284,19.7,396.9,19.6,0.10328,25.0,5.13,0.0,47.2,9.22
60,0.453,5.741,7.2254,8,284,19.7,395.11,18.7,0.14932,25.0,5.13,0.0,66.2,13.15
61,0.453,5.966,6.8185,8,284,19.7,378.08,16.0,0.17171,25.0,5.13,0.0,93.4,14.44
62,0.453,6.456,7.2255,8,284,19.7,396.9,22.2,0.11027,25.0,5.13,0.0,67.8,6.73
63,0.453,6.762,7.9809,8,284,19.7,395.58,25.0,0.1265,25.0,5.13,0.0,43.4,9.5
64,0.4161,7.104,9.2229,3,216,18.6,393.24,33.0,0.01951,17.5,1.38,0.0,59.5,8.05
65,0.398,6.29,6.6115,4,337,16.1,396.9,23.5,0.03584,80.0,3.37,0.0,17.8,4.67
66,0.398,5.787,6.6115,4,337,16.1,396.9,19.4,0.04379,80.0,3.37,0.0,31.1,10.24
67,0.409,5.878,6.498,4,345,18.9,396.21,22.0,0.05789,12.5,6.07,0.0,21.4,8.1
68,0.409,5.594,6.498,4,345,18.9,396.9,17.4,0.13554,12.5,6.07,0.0,36.8,13.09
69,0.409,5.885,6.498,4,345,18.9,396.9,20.9,0.12816,12.5,6.07,0.0,33.0,8.79
70,0.413,6.417,5.2873,4,305,19.2,383.73,24.2,0.08826,0.0,10.81,0.0,6.6,6.72
71,0.413,5.961,5.2873,4,305,19.2,376.94,21.7,0.15876,0.0,10.81,0.0,17.5,9.88
72,0.413,6.065,5.2873,4,305,19.2,390.91,22.8,0.09164,0.0,10.81,0.0,7.8,5.52
73,0.413,6.245,5.2873,4,305,19.2,377.17,23.4,0.19539,0.0,10.81,0.0,6.2,4.740341282607122
74,0.437,6.273,4.2515,5,398,18.7,394.92,24.1,0.07896,0.0,12.83,0.0,18.194905633817186,6.78
75,0.437,6.286,4.5026,5,398,18.7,383.23,21.4,0.09512,0.0,12.83,0.0,45.0,8.94
76,0.437,6.279,4.0522,5,398,18.7,373.66,20.0,0.10153,0.0,12.83,0.0,74.5,11.97
77,0.437,6.14,4.0905,5,398,18.7,386.96,20.8,0.08707,0.0,12.83,0.0,45.8,10.27
78,0.437,6.232,5.0141,5,398,18.7,386.4,21.2,0.05646,0.0,12.83,0.0,53.7,12.34
79,0.437,5.874,4.5026,5,398,18.7,396.06,20.3,0.08387,0.0,12.83,0.0,36.6,8.905165841827351
80,0.426,6.727,5.4007,4,281,19.0,396.9,28.0,0.04113,25.0,4.86,0.0,33.5,5.29
81,0.426,6.619,5.4007,4,281,19.0,395.63,23.9,0.04462,25.0,4.86,0.0,70.4,7.22
82,0.426,6.302,5.4007,4,281,19.0,396.9,24.8,0.03659,25.0,4.86,0.0,32.2,6.72
83,0.426,6.167,5.4007,4,281,19.0,390.64,22.9,0.03551,25.0,4.86,0.0,46.7,7.51
84,0.449,6.389,4.7794,3,247,18.5,396.9,23.9,0.05059,0.0,4.49,0.0,48.0,9.62
85,0.449,6.63,4.4377,3,247,18.5,392.3,26.6,0.05735,0.0,4.49,0.0,56.1,6.53
86,0.449,6.015,4.4272,3,247,18.5,395.99,22.5,0.05188,0.0,4.49,0.0,45.1,12.86
87,0.449,6.121,3.7476,3,247,18.5,395.15,22.2,0.07151,0.0,4.49,0.0,56.8,10.753429075246025
88,0.489,7.007,3.4217,2,270,17.8,396.9,23.6,0.0566,0.0,3.41,0.0,86.3,5.5
89,0.489,7.079,3.4145,2,270,17.8,396.06,28.7,0.05302,0.0,3.41,0.0,63.1,5.7
90,0.489,6.417,3.0923,2,270,17.8,392.18,22.6,0.04684,0.0,3.41,0.0,66.1,8.81
91,0.489,6.405,3.0921,2,270,17.8,393.55,22.0,0.03932,0.0,3.41,0.0,73.9,8.2
92,0.464,6.442,3.6659,4,270,18.2,395.01,22.9,0.04203,0.0,15.04,0.0,53.6,8.16
93,0.464,6.211,3.6659,4,270,18.2,396.33,25.0,0.02875,28.0,15.04,0.0,28.9,6.21
94,0.464,6.249,3.615,4,270,18.2,396.9,20.6,0.04294,28.0,15.04,0.0,77.3,10.59
95,0.445,6.625,3.4952,2,276,18.0,357.98,28.4,0.12204,0.0,2.89,0.0,57.8,6.65
96,0.445,6.163,3.4952,2,276,18.0,391.83,21.4,0.11504,0.0,2.89,0.0,69.6,11.34
97,0.445,8.069,3.4952,2,276,18.0,396.9,38.7,0.12083,0.0,2.89,0.0,76.0,4.21
98,0.445,7.82,3.4952,2,276,18.0,393.53,43.8,0.08187,0.0,2.89,0.0,36.9,3.57
99,0.445,7.416,3.4952,2,276,18.0,396.9,33.2,0.0686,0.0,2.89,0.0,62.5,6.19
100,0.52,6.727,2.7778,5,384,20.9,394.76,27.5,0.14866,0.0,8.56,0.0,79.9,9.42
101,0.52,6.781,2.8561,5,384,20.9,395.58,26.5,0.11432,0.0,8.56,0.0,71.3,7.67
102,0.52,6.405,2.7147,5,384,20.9,70.8,18.6,0.22876,0.0,8.56,0.0,85.4,10.63
103,0.52,6.137,2.7147,5,384,20.9,394.47,19.3,0.21161,0.0,8.56,0.0,89.57323222471996,13.44
104,0.52,6.167,2.421,5,384,20.9,392.69,20.1,0.1396,0.0,8.56,0.0,90.0,12.33
105,0.52,5.851,2.1069,5,384,20.9,394.05,19.5,0.13262,0.0,8.56,0.0,96.7,16.47
106,0.52,5.836,2.211,5,384,20.9,395.67,19.5,0.1712,0.0,8.56,0.0,91.9,18.66
107,0.52,6.127,2.1224,5,384,20.9,387.69,20.4,0.13117,0.0,8.56,0.0,85.2,14.09
108,0.52,6.474,2.4329,5,384,20.9,395.24,19.8,0.12802,0.0,8.56,0.0,97.1,12.27
109,0.52,6.229,2.5451,5,384,20.9,391.23,19.4,0.26363,0.0,8.56,0.0,91.2,15.55
110,0.52,6.195,2.7778,5,384,20.9,393.49,21.7,0.10793,0.0,8.56,0.0,54.4,13.0
111,0.547,6.715,2.6775,6,432,17.8,395.59,22.8,0.10084,0.0,10.01,0.0,81.6,10.16
112,0.547,5.913,2.3534,6,432,17.8,394.95,18.8,0.12329,0.0,10.01,0.0,92.9,16.21
113,0.547,6.092,2.548,6,432,17.8,396.9,18.7,0.22212,0.0,10.01,0.0,95.4,17.09
114,0.547,6.254,2.2565,6,432,17.8,388.74,18.5,0.14231,0.0,10.01,0.0,84.2,10.45
115,0.547,5.928,2.4631,6,432,17.8,344.91,18.3,0.11099443546814716,0.0,10.01,0.0,88.2,15.76
116,0.547,6.176,2.7301,6,432,17.8,393.3,21.2,0.13158,0.0,10.01,0.0,72.5,13.256314192649473
117,0.547,6.021,2.7474,6,432,17.8,394.51,19.2,0.15098,0.0,10.01,0.0,82.6,10.3
118,0.547,5.872,2.4775,6,432,17.8,338.63,20.4,0.13058,0.0,10.01,0.0,73.1,15.37
119,0.547,5.731,2.7592,6,432,17.8,391.5,19.3,0.14476,0.0,10.01,0.0,65.2,13.61
120,0.581,5.87,2.2577,2,188,19.1,389.15,22.0,0.06899,0.0,25.65,0.0,69.7,14.37
121,0.581,6.004,2.1974,2,188,19.1,377.67,20.3,0.07165,0.0,25.65,0.0,84.1,14.27
122,0.581,5.961,2.0869,2,188,19.1,378.09,20.5,0.09299,0.0,25.65,0.0,92.9,17.93
123,0.581,5.856,1.9444,2,188,19.1,370.31,17.3,0.15038,0.0,25.65,0.0,97.0,25.41
124,0.581,5.879,2.0063,2,188,19.1,379.38,18.8,0.09849,0.0,25.65,0.0,95.8,17.58
125,0.581,5.986,1.9929,2,188,19.1,385.02,21.4,0.16902,0.0,25.65,0.0,88.4,14.81
126,0.581,5.613,1.7572,2,188,19.1,359.29,15.7,0.38735,0.0,25.65,0.0,89.87599521217979,27.26
127,0.624,5.693,1.7883,4,437,21.2,392.11,16.2,0.25915,0.0,21.89,0.0,96.0,17.19
128,0.624,6.431,1.8125,4,437,21.2,396.9,18.0,0.32543,0.0,21.89,0.0,98.8,15.39
129,0.624,5.637,1.9799,4,437,21.2,396.9,14.3,0.88125,0.0,21.89,0.0,94.7,18.34
130,0.624,6.458,2.1185,4,437,21.2,395.04,19.2,0.34006,0.0,21.89,0.0,98.9,12.6
131,0.624,6.326,2.271,4,437,21.2,396.9,19.6,1.19294,0.0,21.89,0.0,97.7,12.26
132,0.624,6.372,2.3274,4,437,21.2,385.76,23.0,0.59005,0.0,21.89,0.0,97.9,11.12
133,0.624,5.822,2.4699,4,437,21.2,388.69,18.4,0.32982,0.0,21.89,0.0,95.4,15.03
134,0.624,5.757,2.346,4,437,21.2,262.76,15.6,0.97617,0.0,21.89,0.0,98.4,17.31
135,0.624,6.335,2.1107,4,437,21.2,394.67,18.1,0.55778,0.0,21.89,0.0,98.2,16.96
136,0.624,5.942,1.9669,4,437,21.2,378.25,17.4,0.32264,0.0,21.89,0.0,93.5,16.9
